,19/08/2017,31/08/2017,12/09/2017,24/09/2017,6/10/2017,18/10/2017,30/10/2017,11/11/2017,23/11/2017,5/12/2017,17/12/2017,29/12/2017,10/01/2018,22/01/2018,3/02/2018,15/02/2018,27/02/2018,11/03/2018,23/03/2018,4/04/2018,16/04/2018,28/04/2018,10/05/2018,22/05/2018,3/06/2018,15/06/2018,27/06/2018,9/07/2018,21/07/2018,2/08/2018,14/08/2018,26/08/2018,7/09/2018,19/09/2018,1/10/2018,13/10/2018,25/10/2018,6/11/2018,18/11/2018,30/11/2018,12/12/2018,24/12/2018,5/01/2019,17/01/2019,X,Y,Count,Nbhd
Pixel.45,-0.009774,-0.005355,0.001817,-0.001455,0.001995,-0.001628,0.002139,-0.004739,0.010847,-0.008532,-0.001758,-0.002324,-0.004483,-0.000809,-0.001425,-0.000173,-0.005696,0.000251,0.000339,-0.007162,0.002651,-0.004407,-0.010561,-0.009346,-0.000612,-0.000235,-0.003822,-0.008279,-0.008403,-0.008782,-0.008086,-0.003646,-0.014671,-0.004745,-0.007892,0.009339,3.50E-05,-0.013567,-0.010486,-0.014612,0.001215,-0.001475,-0.015535,-0.010755,592070,7775130,15,5
Pixel.61,-0.000563,-0.003046,0.002853,0.000848,0.000911,-0.000533,0.001895,-0.00016,-0.004999,0.001217,-0.001938,-0.006031,-0.00146,-0.004894,-0.007777,-0.008096,-0.014378,-2.00E-06,-0.003702,-0.008548,-0.004878,-0.004614,-0.006863,0.00073,-0.007883,-0.011247,-0.009813,-0.009539,-0.010561,-0.00964,-0.009956,-0.013555,-0.020241,-0.010116,-0.014714,-0.015897,-0.008996,-0.011643,-0.009638,-0.010582,-0.007848,-0.01076,-0.010533,-0.014898,592010,7775110,2,5
Pixel.92,0.001426,-0.002119,0.001111,-0.003306,0.006167,0.004037,-0.003007,-0.006917,-0.000346,-0.003397,-0.003216,-0.004748,-0.009597,-0.008196,-0.009587,-0.008594,-0.005476,-0.005488,-0.012753,-0.008845,-0.012797,-0.011743,-0.010721,-0.009996,-0.011604,-0.012887,-0.008604,-0.018784,-0.013965,-0.017316,-0.011246,-0.018334,-0.017761,-0.018344,-0.007961,-0.008411,-0.01644,-0.017105,-0.013598,-0.020943,-0.010365,-0.02229,-0.017252,-0.018364,592070,7775110,1,5
Pixel.114,-0.006722,-0.003122,0.006892,0.000345,0.000929,0.001206,-0.00337,-0.005305,-0.005149,-0.004177,-0.007284,-0.006806,-0.00358,-0.005946,-0.010308,-0.004009,-0.000529,-0.007212,-0.001636,-0.010055,-0.002743,-0.00933,-0.007796,-0.003875,-0.008201,-0.006574,-0.004125,-0.014651,-0.009119,-0.01616,-0.010321,-0.008867,-0.018446,-0.011429,-0.010286,-0.009288,-0.009549,-0.016605,-0.016532,-0.017847,-0.012979,-0.018571,-0.013397,-0.014078,592110,7775110,2,5
Pixel.162,-0.003962,0.002053,0.00433,-0.00229,-0.003003,0.002914,-0.000628,-0.003397,-6.30E-05,-0.005866,-0.003223,-0.001529,-0.003313,0.00015,-0.009526,-0.007578,-0.010518,-0.000963,-0.004917,-0.006565,-0.007568,-0.002085,-0.011535,-0.01236,-0.008802,-0.01233,-0.009217,-0.006132,-0.015809,-0.011882,-0.010251,-0.011682,-0.015652,-0.013396,-0.008584,-0.004197,-0.011459,-0.006183,-0.017195,-0.013548,-0.010415,-0.014688,-0.008172,-0.020904,592070,7775090,4,5
Pixel.171,-0.003936,0.004343,0.003894,-0.000197,0.002465,-0.004054,-0.007408,-0.000185,0.008784,-0.002069,-0.003697,-0.011393,-0.008566,-0.000207,-0.011278,-0.007724,-0.011851,-0.004662,-0.004252,-0.015037,-0.000918,-0.005084,-0.005526,-0.001917,-0.010934,-0.007544,-0.010432,-0.011306,-0.017288,-0.016094,-0.011175,-0.014117,-0.013328,-0.009199,-0.006287,-0.013567,-0.009121,-0.009732,-0.009554,-0.012698,-0.00652,-0.00946,-0.01294,-0.017272,592090,7775090,1,5
Pixel.262,-0.002628,0.004715,0.000403,0.000403,0.004734,-0.0088,-0.002774,-0.007264,-0.004401,-0.000682,-0.003264,-0.008804,-0.006147,-0.002114,-0.006381,-0.004233,-0.010584,-0.006464,-0.010291,-0.005205,-0.009751,-0.001772,-0.004946,-0.008335,-0.008025,-0.009174,-0.011139,-0.012099,-0.016481,-0.015895,-0.012342,-0.017193,-0.018038,-0.016673,-0.015768,-0.010957,-0.013265,-0.017619,-0.01371,-0.01154,-0.017726,-0.010124,-0.012003,-0.017186,592010,7775050,2,5
Pixel.301,-0.00047,-0.004559,0.001664,0.006487,-0.000314,-0.011611,-0.003538,0.003215,0.003384,-0.0027,-0.001503,-0.006884,-0.011223,-0.004256,-0.008744,-0.006832,-0.007913,-0.003364,-0.0152,-0.016056,-0.010232,-0.010322,-0.007932,-0.007954,-0.008773,-0.007343,-0.004409,-0.01618,-0.014827,-0.009829,-0.011839,-0.008143,-0.014095,-0.016412,-0.00836,-0.002278,-0.01056,-0.018524,-0.022013,-0.016818,-0.01495,-0.017789,-0.013988,-0.020561,592090,7775050,1,5
Pixel.31,-0.007506,-0.001279,0.000178,0.00759,-0.000409,0.001751,0.004488,-0.001759,-0.003993,-0.006481,-0.000655,-0.007178,-0.009292,-0.006958,-0.007139,-0.005427,-0.010589,-0.007623,0.00037,-0.007477,-0.00378,-0.005031,-0.004126,-0.00853,-0.007624,-0.010409,-0.00789,-0.013514,-0.015113,-0.014737,-0.006969,-0.014796,-0.008854,-0.011941,-0.012329,-0.014113,-0.011409,-0.011147,-0.013855,-0.003733,-0.008889,-0.010808,-0.012809,-0.014153,592110,7775050,5,5
Pixel.341,0.001387,0.000451,0.001922,0.000767,0.003227,-0.002597,-0.000489,-0.001253,-0.00288,-0.002182,-0.003021,-0.004834,-0.001073,-0.004717,-0.007647,-0.006958,-0.010374,-0.006244,-0.014472,-0.007621,-0.00681,-0.00616,-0.00736,-0.008108,-0.008716,-0.006511,-0.004225,-0.009309,-0.01138,-0.010074,-0.009846,-0.008176,-0.012597,-0.01037,-0.00981,-0.004385,-0.006705,-0.011721,-0.011736,-0.010672,-0.012659,-0.009592,-0.005415,-0.016807,592050,7775030,1,5
