Date,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8,Pixel 9,Pixel 10,Pixel 11,Pixel 12,Pixel 13,Pixel 14,Pixel 15,Pixel 16,Pixel 17,Pixel 18,Pixel 19,Pixel 20,Pixel 21,Pixel 22,Pixel 23,Pixel 24,Pixel 25,Pixel 26,Pixel 27,Pixel 28,Pixel 29,Pixel 30,Pixel 31,Pixel 32,Pixel 33,Pixel 34,Pixel 35,Pixel 36,Pixel 37
22/12/2017,-0.009991,0.000414,-0.001172,0.005811,-0.006554,-0.006554,0.000137,-0.002409,0.003298,-0.003882,-0.001848,-0.001848,0.000137,-0.002649,-0.003404,-0.002382,-0.002374,-0.001848,-0.002812,-0.002812,-0.000134,0.006454,-0.002374,-0.002374,-0.000695,0.000263,0.000263,0.0017,0.006454,-0.001484,-0.001484,-0.002446,0.0017,0.0017,-0.001484,-0.002446,-0.001307
3/01/2018,-0.003807,0.001096,-0.002707,-0.002312,-0.005575,-0.005575,-0.001703,-0.003393,0.004235,-0.002885,-0.001758,-0.001758,-0.001703,0.003048,0.003357,0.002551,-0.003137,-0.001758,0.000749,0.000749,0.000054,0.002513,-0.003137,-0.003137,-0.003564,-0.00133,-0.00133,-0.007374,0.002513,-0.0035,-0.0035,-0.004084,-0.007374,-0.007374,-0.0035,-0.004084,-0.007329
15/01/2018,-0.00231,-0.000355,0.00044,-0.006197,-0.003785,-0.003785,-0.005346,-0.009207,-0.003334,-0.005717,-0.000387,-0.000387,-0.005346,-0.003854,-0.00264,0.00187,-0.006002,-0.000387,-0.000953,-0.000953,0.006515,0.003563,-0.006002,-0.006002,-0.010604,-0.001539,-0.001539,-0.005589,0.003563,-0.004745,-0.004745,-0.006303,-0.005589,-0.005589,-0.004745,-0.006303,-0.002377
27/01/2018,-0.005588,0.00098,-0.001381,0.002509,-0.000298,-0.000298,-0.001976,-0.002044,-0.002516,-0.002188,-0.000838,-0.000838,-0.001976,-0.003024,0.006663,0.002574,-0.008788,-0.000838,0.000387,0.000387,-0.004407,-0.002939,-0.008788,-0.008788,0.001321,-0.005537,-0.005537,0.002282,-0.002939,-0.006168,-0.006168,0.001252,0.002282,0.002282,-0.006168,0.001252,-0.00316
8/02/2018,-0.009156,-0.002049,-0.000329,-0.007891,-0.00872,-0.00872,-0.007644,-0.008531,-0.005915,-0.008462,-0.006068,-0.006068,-0.007644,-0.001767,-0.003463,-0.003676,-0.0141,-0.006068,-0.004643,-0.004643,-0.010999,-0.002584,-0.0141,-0.0141,-0.003058,-0.006786,-0.006786,-0.008006,-0.002584,-0.004681,-0.004681,-0.003968,-0.008006,-0.008006,-0.004681,-0.003968,-0.007535
20/02/2018,-0.000177,-0.001426,-0.000989,-0.008004,-0.002505,-0.002505,-0.002141,-0.006562,-0.004291,-0.003493,0.002368,0.002368,-0.002141,-0.006982,0.003054,-0.002565,-0.007557,0.002368,-0.00823,-0.00823,-0.000453,0.000514,-0.007557,-0.007557,-0.002057,-0.002512,-0.002512,-0.0019,0.000514,-0.000069,-0.000069,-0.002831,-0.0019,-0.0019,-0.000069,-0.002831,-0.007538
4/03/2018,0.006291,-0.004734,-0.006463,-0.00728,0.002585,0.002585,-0.014434,0.009184,-0.007523,-0.000684,-0.004075,-0.004075,-0.014434,-0.01027,-0.003782,-0.007067,-0.007487,-0.004075,-0.003395,-0.003395,-0.006406,0.007601,-0.007487,-0.007487,-0.006126,-0.017392,-0.017392,-0.005054,0.007601,-0.012105,-0.012105,-0.005612,-0.005054,-0.005054,-0.012105,-0.005612,-0.004709
16/03/2018,-0.005573,-0.003239,-0.000044,-0.006182,-0.008947,-0.008947,-0.000293,-0.010613,-0.008578,0.000941,-0.005522,-0.005522,-0.000293,-0.002221,-0.001639,0.000904,-0.006316,-0.005522,-0.002001,-0.002001,-0.002168,-0.010745,-0.006316,-0.006316,-0.008299,-0.006404,-0.006404,-0.004232,-0.010745,-0.005298,-0.005298,-0.004779,-0.004232,-0.004232,-0.005298,-0.004779,-0.006913
28/03/2018,-0.00729,-0.004007,-0.005009,-0.007204,-0.009403,-0.009403,-0.001436,-0.012285,-0.000702,-0.006284,-0.006636,-0.006636,-0.001436,-0.006803,-0.003008,-0.000963,-0.007113,-0.006636,-0.006697,-0.006697,0.003991,-0.002673,-0.007113,-0.007113,-0.007513,-0.00748,-0.00748,-0.017099,-0.002673,0.003731,0.003731,-0.00298,-0.017099,-0.017099,0.003731,-0.00298,-0.008319
9/04/2018,-0.009683,-0.00527,-0.000412,-0.01033,-0.002471,-0.002471,-0.001726,-0.008403,-0.003103,-0.000533,-0.006965,-0.006965,-0.001726,-0.00119,-0.000974,-0.001194,-0.012658,-0.006965,-0.001902,-0.001902,0.002598,0.000278,-0.012658,-0.012658,-0.011415,-0.007332,-0.007332,-0.005986,0.000278,-0.003895,-0.003895,-0.004294,-0.005986,-0.005986,-0.003895,-0.004294,-0.001835
21/04/2018,-0.008578,-0.003108,-0.005011,-0.006064,-0.011106,-0.011106,-0.012143,-0.009151,-0.00344,-0.012563,-0.004642,-0.004642,-0.012143,-0.007669,-0.005482,-0.001697,-0.009196,-0.004642,-0.001088,-0.001088,-0.002923,-0.00117,-0.009196,-0.009196,-0.006207,-0.013376,-0.013376,-0.007613,-0.00117,-0.003613,-0.003613,-0.007373,-0.007613,-0.007613,-0.003613,-0.007373,-0.004381
3/05/2018,-0.006248,-0.002303,-0.005569,-0.010977,-0.011034,-0.011034,-0.006545,-0.014152,-0.004616,-0.006444,-0.004658,-0.004658,-0.006545,-0.005716,-0.005312,-0.002565,-0.009639,-0.004658,-0.006073,-0.006073,-0.000579,-0.003425,-0.009639,-0.009639,-0.009002,-0.008222,-0.008222,0.002534,-0.003425,-0.004384,-0.004384,-0.008282,0.002534,0.002534,-0.004384,-0.008282,-0.007361
15/05/2018,-0.002374,-0.004734,-0.000907,-0.004631,-0.009379,-0.009379,0.002094,-0.006915,-0.00351,-0.005082,-0.003958,-0.003958,0.002094,-0.010203,-0.003186,-0.004476,-0.004948,-0.003958,0.004871,0.004871,-0.00289,-0.00671,-0.004948,-0.004948,-0.006875,-0.005082,-0.005082,-0.005315,-0.00671,-0.002777,-0.002777,-0.004455,-0.005315,-0.005315,-0.002777,-0.004455,-0.000224
27/05/2018,-0.00527,-0.000632,-0.006086,0.002262,-0.0086,-0.0086,-0.005203,-0.013207,-0.002495,-0.003888,-0.006282,-0.006282,-0.005203,-0.010607,-0.006751,-0.006278,-0.005107,-0.006282,-0.003874,-0.003874,-0.007337,-0.003023,-0.005107,-0.005107,-0.010714,-0.01343,-0.01343,-0.008243,-0.003023,-0.006788,-0.006788,-0.006976,-0.008243,-0.008243,-0.006788,-0.006976,-0.008273
8/06/2018,-0.010359,-0.00262,-0.000891,-0.009857,-0.010661,-0.010661,-0.009,-0.004944,-0.003563,0.000371,-0.003353,-0.003353,-0.009,-0.00272,0.000781,-0.002049,-0.009648,-0.003353,0.007235,0.007235,-0.004249,-0.003546,-0.009648,-0.009648,-0.004978,-0.004543,-0.004543,-0.000794,-0.003546,-0.005106,-0.005106,-0.001859,-0.000794,-0.000794,-0.005106,-0.001859,-0.004891
20/06/2018,-0.010286,-0.013461,-0.003156,-0.000188,-0.011977,-0.011977,-0.004263,-0.007383,-0.006134,-0.00371,-0.005983,-0.005983,-0.004263,-0.005385,0.000623,-0.01045,-0.010684,-0.005983,-0.006409,-0.006409,-0.004979,-0.001528,-0.010684,-0.010684,-0.008646,-0.008226,-0.008226,-0.001294,-0.001528,-0.006853,-0.006853,-0.002549,-0.001294,-0.001294,-0.006853,-0.002549,-0.003983
2/07/2018,-0.009262,-0.006198,-0.002887,-0.005249,-0.011144,-0.011144,-0.009709,-0.01142,-0.009245,-0.008663,-0.004886,-0.004886,-0.009709,-0.008888,-0.001731,-0.008544,-0.007027,-0.004886,-0.002839,-0.002839,-0.002539,0.002933,-0.007027,-0.007027,-0.005877,-0.009682,-0.009682,0.000977,0.002933,-0.005791,-0.005791,-0.002799,0.000977,0.000977,-0.005791,-0.002799,-0.009035
14/07/2018,-0.012175,-0.009752,-0.007877,-0.007028,-0.023508,-0.023508,-0.007018,-0.01586,-0.022115,-0.016243,-0.011268,-0.011268,-0.007018,-0.020116,-0.010886,-0.020481,-0.014448,-0.011268,-0.00441,-0.00441,-0.015381,0.000002,-0.014448,-0.014448,-0.011366,-0.019013,-0.019013,-0.021568,0.000002,-0.012329,-0.012329,-0.006091,-0.021568,-0.021568,-0.012329,-0.006091,-0.020452
26/07/2018,-0.007254,-0.001389,-0.008731,-0.004057,-0.007227,-0.007227,-0.01005,-0.016924,-0.013017,-0.007548,-0.00381,-0.00381,-0.01005,-0.012936,-0.007268,0.001743,-0.011851,-0.00381,0.002793,0.002793,-0.007319,0.001242,-0.011851,-0.011851,-0.005975,-0.00815,-0.00815,-0.005264,0.001242,-0.001433,-0.001433,-0.009601,-0.005264,-0.005264,-0.001433,-0.009601,-0.012834
7/08/2018,-0.005116,-0.003755,-0.006607,-0.00248,0.000913,0.000913,-0.01365,0.0071,-0.014646,-0.008041,-0.012025,-0.012025,-0.01365,-0.009301,-0.008245,-0.001043,-0.009369,-0.012025,-0.0048,-0.0048,-0.006876,0.003645,-0.009369,-0.009369,-0.009632,0.00084,0.00084,-0.00476,0.003645,-0.007152,-0.007152,-0.005369,-0.00476,-0.00476,-0.007152,-0.005369,-0.00281
19/08/2018,-0.007969,-0.001606,-0.002261,-0.005681,-0.012713,-0.012713,-0.003941,-0.006622,-0.01321,-0.006711,-0.005361,-0.005361,-0.003941,-0.013859,0.000923,0.002949,-0.011824,-0.005361,-0.003079,-0.003079,-0.001317,-0.003356,-0.011824,-0.011824,-0.008468,-0.007176,-0.007176,-0.002855,-0.003356,-0.007448,-0.007448,-0.005599,-0.002855,-0.002855,-0.007448,-0.005599,-0.008325
31/08/2018,-0.010486,-0.00636,-0.007667,-0.006451,-0.01231,-0.01231,-0.00754,-0.012402,-0.01038,-0.012446,-0.007572,-0.007572,-0.00754,-0.014319,-0.004471,0.00212,-0.004766,-0.007572,-0.007691,-0.007691,-0.008648,-0.009453,-0.004766,-0.004766,-0.007775,-0.00878,-0.00878,-0.010141,-0.009453,-0.001863,-0.001863,-0.007061,-0.010141,-0.010141,-0.001863,-0.007061,-0.009044
12/09/2018,-0.008889,-0.005658,-0.003874,-0.008277,-0.010157,-0.010157,-0.00772,-0.010705,-0.014922,-0.006536,-0.00756,-0.00756,-0.00772,-0.003124,0.00105,0.001663,-0.0153,-0.00756,-0.006293,-0.006293,-0.01147,-0.008815,-0.0153,-0.0153,-0.013519,-0.012754,-0.012754,-0.008368,-0.008815,-0.008439,-0.008439,-0.011387,-0.008368,-0.008368,-0.008439,-0.011387,-0.011091
24/09/2018,-0.007334,-0.011289,-0.005849,-0.004912,-0.00886,-0.00886,-0.00689,-0.011588,-0.008777,-0.008031,-0.00644,-0.00644,-0.00689,-0.006656,0.001781,0.003813,-0.006504,-0.00644,0.002577,0.002577,0.003138,-0.001089,-0.006504,-0.006504,-0.002604,-0.008835,-0.008835,-0.003783,-0.001089,-0.00555,-0.00555,-0.009719,-0.003783,-0.003783,-0.00555,-0.009719,-0.005413
